===================Title===================
List of ghost towns in Kansas
===================Table===================
|     | Town name                        | County                         | Established                           | Disestablished                                     | Current Status                                                                                                                                                                                                                                                               | Remarks                                                                                                                                                                                                                                                             |
| 236 | Empire                           | McPherson County               | 1855, post office established in 1861 | late 1870s                                         | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 237 | Hukle                            | Sedgwick County                | 1885                                  | 1915                                               | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 238 | Marshall                         | Sedgwick County                | 1872                                  | 1880s                                              | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 239 | Calista                          | Kingman County                 | 1880s                                 | 1970s                                              | An old grain elevator and a couple of houses remain.                                                                                                                                                                                                                         | nan                                                                                                                                                                                                                                                                 |
| 240 | Meridian                         | Sumner County                  | 1871                                  | 1886                                               | The town never actually existed despite being named the county seat in 1871.                                                                                                                                                                                                 | nan                                                                                                                                                                                                                                                                 |
| 241 | Saratoga                         | Pratt County                   | 1878                                  | early 1900s                                        | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 242 | Drury                            | Sumner County                  | 1882                                  | nan                                                | A small population (approx. 20) remains along with a dam built in 1882.                                                                                                                                                                                                      | nan                                                                                                                                                                                                                                                                 |
| 243 | Zyba                             | Sumner County                  | 1888                                  | 1915                                               | Nothing remains of the townsite, the town was wiped off the map by a tornado.                                                                                                                                                                                                | nan                                                                                                                                                                                                                                                                 |
| 244 | Belvidere                        | Kiowa County                   | 1887                                  | nan                                                | A small population remains.                                                                                                                                                                                                                                                  | nan                                                                                                                                                                                                                                                                 |
| 245 | Leota                            | Norton County                  | 1873                                  | 1882                                               | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 246 | Port Landis                      | Norton County                  | 1872                                  | nan                                                | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 247 | Woodruff                         | Phillips County                | 1885                                  | nan                                                | A small population remains.                                                                                                                                                                                                                                                  | nan                                                                                                                                                                                                                                                                 |
| 248 | Gandy                            | Sherman County                 | 1885                                  | 1887                                               | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 249 | Hawkeye                          | Decatur County                 | 1876                                  | 1880s                                              | Little remains of the townsite.                                                                                                                                                                                                                                              | nan                                                                                                                                                                                                                                                                 |
| 250 | Coyote                           | Trego County                   | January 1868                          | June 1868                                          | Coyote was the western terminus of the Union Pacific during construction. When the railroad moved on, Coyote was abandoned.                                                                                                                                                  | nan                                                                                                                                                                                                                                                                 |
| 251 | Augustine                        | Logan County                   | 1887                                  | Post office closed in 1895                         | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 252 | Vega                             | Wallace County                 | 1887                                  | 1890s                                              | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 253 | Jerome                           | Gove County                    | 1886                                  | Post office closed in 1943                         | Little remains of the townsite.                                                                                                                                                                                                                                              | nan                                                                                                                                                                                                                                                                 |
| 254 | Sherlock                         | Finney County                  | 1872                                  | nan                                                | In 1910, the people of Sherlock renamed the town Holcomb, which still exists.                                                                                                                                                                                                | nan                                                                                                                                                                                                                                                                 |
| 255 | Old Montezuma                    | Gray County                    | 1886                                  | 1895                                               | Some ruins remain in the area.                                                                                                                                                                                                                                               | In 1912, the Santa Fe Railroad laid out a new town named Montezuma which continues to thrive.                                                                                                                                                                       |
| 256 | Hess                             | Gray County                    | 1887                                  | nan                                                | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 257 | Morton City                      | Hodgeman County                | 1877                                  | 1880s                                              | Some ruins of old stone houses remain.                                                                                                                                                                                                                                       | The townsite is now a part of the Hanna Hereford Ranch.                                                                                                                                                                                                             |
| 258 | Ivanhoe                          | Haskell County                 | late 1880s                            | 1920s                                              | Nothing remains of the townsite except for a Santa Fe Trail marker and a cemetery.                                                                                                                                                                                           | nan                                                                                                                                                                                                                                                                 |
| 259 | Dermot                           | Stevens County                 | 1887                                  | Post office closed in 1929                         | Nothing remains of the townsite.                                                                                                                                                                                                                                             | The town was short-lived but the post office existed decades longer than the actual town.                                                                                                                                                                           |
| 260 | Pleasant Plains                  | Morton County                  | nan                                   | nan                                                | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 261 | Taloga                           | Morton County                  | 1886                                  | 1890s                                              | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 262 | Mertilla                         | Meade County                   | 1885                                  | 1893                                               | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 263 | Nirwana City                     | Meade County                   | 1886                                  | 1888                                               | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 264 | Carthage                         | Meade County                   | 1885                                  | 1885                                               | The town was abandoned when Meade Center won the county seat. Nothing remains but a main street through Meade is named Carthage.                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 265 | Pearlette                        | Meade County                   | 1879                                  | 1880                                               | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 266 | Spring Lake/Artesian City        | Meade County                   | 1885                                  | 1893                                               | Renamed Artesian City from Spring Lake in 1887, nothing remains of the townsite.                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 267 | Veteran                          | Stanton County                 | 1885                                  | 1886                                               | The exact location of the first townsite of Veteran is unknown but the second location became Johnson City in 1886.                                                                                                                                                          | The town of Veteran was apparently founded by Civil War Veterans.                                                                                                                                                                                                   |
| 268 | Annelly                          | Harvey County                  | nan                                   | nan                                                | The main street and an old schoolhouse remain.                                                                                                                                                                                                                               | nan                                                                                                                                                                                                                                                                 |
| 269 | Elk                              | Chase County                   | nan                                   | Post office closed in 1923                         | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 270 | Farmer City                      | Wichita County                 | nan                                   | nan                                                | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 271 | Hail Ridge                       | Linn County                    | nan                                   | Post office closed in 1888                         | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 272 | Millbrook                        | Graham County                  | 1880                                  | 1887                                               | The ruins of a schoolhouse remain in the area.                                                                                                                                                                                                                               | nan                                                                                                                                                                                                                                                                 |
| 273 | Prairie City                     | Douglas County                 | 1857                                  | 1883                                               | A cemetery, ruins of an old church and an abandoned stone house are all that remain of the town.                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 274 | Smoky Hill City                  | Ellis County                   | 1899                                  | 1905                                               | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 275 | Sibley                           | Cloud County                   | nan                                   | nan                                                | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 276 | Thurman                          | Chase County                   | 1874                                  | 1944                                               | Little remains of the townsite.                                                                                                                                                                                                                                              | nan                                                                                                                                                                                                                                                                 |
| 277 | Twin Mound                       | Douglas County                 | 1857                                  | early 1900s                                        | A small population remains along with an old cemetery, schoolhouse and the natural mounds the town was named for.                                                                                                                                                            | nan                                                                                                                                                                                                                                                                 |
| 278 | Muncie                           | Wyandotte County               | nan                                   | nan                                                | Muncie is now a part of suburban Kansas City.                                                                                                                                                                                                                                | nan                                                                                                                                                                                                                                                                 |
| 279 | Stringtown/Woodstock             | Jefferson County               | 1865                                  | Post office closed in 1891                         | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 280 | Zarah                            | Johnson County                 | 1902                                  | nan                                                | Nothing remains of the townsite.                                                                                                                                                                                                                                             | Zarah might have been located near Shawnee Mission Parkway and Woodland Road.                                                                                                                                                                                       |
| 281 | Emerald Community                | Anderson County                | 1857                                  | nan                                                | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 282 | Ohio City                        | Franklin County                | 1857                                  | 1864                                               | Nothing remains of the townsite.                                                                                                                                                                                                                                             | Was the county seat from 1861 until 1864.                                                                                                                                                                                                                           |
| 283 | Williamsport                     | Shawnee County                 | 1857                                  | nan                                                | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 284 | Camp Whiteside                   | Geary County                   | nan                                   | 1930s                                              | Nothing remains of the site.                                                                                                                                                                                                                                                 | nan                                                                                                                                                                                                                                                                 |
| 285 | Toledo                           | Chase County                   | 1860                                  | nan                                                | A cemetery and some farms are all that remain.                                                                                                                                                                                                                               | nan                                                                                                                                                                                                                                                                 |
| 286 | Wauneta                          | Chautauqua County              | nan                                   | Post office closed in 1931                         | A United Methodist Church is located on K-166 east of Cedarvale.                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 287 | Union Center                     | Elk County                     | 1868                                  | nan                                                | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 288 | Geneva                           | Allen County                   | 1857                                  | Post office closed in 1942.                        | Little remains of the townsite.                                                                                                                                                                                                                                              | nan                                                                                                                                                                                                                                                                 |
| 289 | Fact                             | Clay County                    | unknown                               | nan                                                | Little remains of the townsite, a small population remains.                                                                                                                                                                                                                  | nan                                                                                                                                                                                                                                                                 |
| 290 | Victor                           | Mitchell County                | nan                                   | 1959                                               | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 291 | Shipton                          | Saline County                  | nan                                   | Post office closed in 1895                         | Nothing remains of the townsite.                                                                                                                                                                                                                                             | The entire town was auctioned off in 1909.                                                                                                                                                                                                                          |
| 292 | Black Wolf                       | Ellsworth County               | 1879                                  | nan                                                | A grain elevator and some other buildings remain.                                                                                                                                                                                                                            | Black Wolf is currently on private property.                                                                                                                                                                                                                        |
| 293 | Shaffer                          | Rush County                    | 1892                                  | nan                                                | Little remains of the townsite.                                                                                                                                                                                                                                              | nan                                                                                                                                                                                                                                                                 |
| 294 | Beaver                           | Barton County                  | 1918                                  | nan                                                | A small population remains.                                                                                                                                                                                                                                                  | nan                                                                                                                                                                                                                                                                 |
| 295 | Wherry                           | Rice County                    | nan                                   | nan                                                | Nothing remains of the townsite.                                                                                                                                                                                                                                             | The last building marking the site burned down in 1967.                                                                                                                                                                                                             |
| 296 | Saxman                           | Rice County                    | nan                                   | nan                                                | A small population (approx. 30) remains.                                                                                                                                                                                                                                     | nan                                                                                                                                                                                                                                                                 |
| 297 | Roxbury                          | McPherson County               | 1866                                  | nan                                                | A small population (approx. 75) remains.                                                                                                                                                                                                                                     | nan                                                                                                                                                                                                                                                                 |
| 298 | Ashtabula Colony                 | McPherson County               | 1871                                  | nan                                                | Merged with McPherson.                                                                                                                                                                                                                                                       | nan                                                                                                                                                                                                                                                                 |
| 299 | Medora                           | Reno County                    | nan                                   | nan                                                | Little remains of the townsite, a small population remains.                                                                                                                                                                                                                  | nan                                                                                                                                                                                                                                                                 |
| 300 | Bayneville                       | Sedgwick County                | 1884                                  | nan                                                | Some houses and ruins remain in the area.                                                                                                                                                                                                                                    | nan                                                                                                                                                                                                                                                                 |
